type,timestamp,user,ip,action,status,details
login,2026-08-01 09:00:00,user1,192.168.1.10,login,success,normal login
login,2026-08-01 09:01:00,user2,192.168.1.11,login,success,normal login
login,2026-08-01 09:02:00,user3,192.168.1.12,login,failed,wrong password
login,2026-08-01 09:03:00,user4,192.168.1.13,login,failed,wrong password
login,2026-08-01 09:04:00,user5,10.0.0.5,login,failed,multiple failed attempts
api,2026-08-01 09:05:00,user1,192.168.1.10,/jobs,200,job search request
api,2026-08-01 09:06:00,bot1,8.8.8.8,/search,200,high frequency request
api,2026-08-01 09:07:00,bot1,8.8.8.8,/search,200,high frequency request
api,2026-08-01 09:08:00,user2,192.168.1.11,/apply,200,job apply request
api,2026-08-01 09:09:00,unknown,10.10.10.10,/admin,403,unauthorized access
resume,2026-08-01 09:10:00,user3,192.168.1.12,upload,success,resume uploaded
resume,2026-08-01 09:11:00,user4,192.168.1.13,view,success,resume viewed
resume,2026-08-01 09:12:00,bot2,9.9.9.9,download,success,multiple resume downloads
input,2026-08-01 09:13:00,user5,10.0.0.5,search,failed,' OR 1=1 --
input,2026-08-01 09:14:00,user6,10.0.0.6,comment,failed,<script>alert(1)</script>
